"date","revision","files","test","pass","fail","todo","skip","specplan"
"2008-05-22 00:00",27739,31,564,223,0,0,341,2905
"2008-05-23 00:00",27763,32,569,228,0,0,341,2905
"2008-05-24 00:00",27775,32,569,228,0,0,341,2915
"2008-05-25 00:00",27796,39,666,310,0,0,356,2915
"2008-05-26 00:00",27812,39,666,310,0,0,356,2915
"2008-05-27 00:00",27839,39,666,310,0,0,356,2956
"2008-05-28 00:00",27868,39,666,317,0,0,349,2964
"2008-05-29 00:00",27910,43,774,394,4,15,361,3011
"2008-05-30 00:00",27933,43,775,415,0,15,345,3012
"2008-05-31 00:00",27953,43,775,415,0,15,345,3014
"2008-06-01 00:00",27986,52,892,518,0,15,359,3014
"2008-06-02 00:00",28021,55,1012,623,0,15,374,3014
"2008-06-03 00:00",28042,55,1012,623,0,15,374,3014
"2008-06-04 00:00",28058,55,1012,624,0,14,374,3014
"2008-06-05 00:00",28084,58,1107,668,0,15,424,3063
"2008-06-06 00:00",28127,58,1110,674,0,14,422,3068
"2008-06-07 00:00",28161,59,1139,682,0,16,441,3068
"2008-06-08 00:00",28174,59,1139,697,0,17,425,3078
"2008-06-09 00:00",28192,59,1139,699,0,15,425,3079
"2008-06-10 00:00",28223,59,1139,699,0,15,425,3079
"2008-06-11 00:00",28229,59,1145,705,0,15,425,3104
"2008-06-12 00:00",28248,59,1145,705,0,15,425,3125
"2008-06-13 00:00",28298,60,1148,707,0,15,426,3129
"2008-06-14 00:00",28331,60,1148,711,0,15,422,3129
"2008-06-15 00:00",28372,63,1201,754,0,15,432,3153
"2008-06-16 00:00",28412,64,1226,779,0,15,432,3189
"2008-06-17 00:00",28454,64,1230,781,0,15,434,3200
"2008-06-18 00:00",28506,64,1230,781,0,15,434,3200
"2008-06-19 00:00",28535,64,1230,781,0,15,434,3405
"2008-06-20 00:00",28570,65,1241,792,0,15,434,3452
"2008-06-21 00:00",28591,65,1240,794,0,15,431,3451
"2008-06-22 00:00",28627,66,1249,843,0,15,391,3494
"2008-06-23 00:00",28658,66,1253,849,0,20,384,3505
"2008-06-24 00:00",28672,66,1253,849,0,20,384,3510
"2008-06-25 00:00",28693,70,1311,891,0,31,389,4218
"2008-06-26 00:00",28701,73,1414,944,0,38,432,4292
"2008-06-27 00:00",28737,75,1429,1080,1,38,310,4311
"2008-06-28 00:00",28767,75,1441,1072,17,38,314,4338
"2008-06-29 00:00",28810,75,1475,1077,74,38,286,4380
"2008-06-30 00:00",28840,74,1471,1126,0,38,307,4484
"2008-07-01 00:00",28858,75,1522,1172,0,36,314,4484
"2008-07-02 00:00",28928,80,1705,1290,0,47,368,4788
"2008-07-03 00:00",28991,83,1830,1365,0,47,418,4814
